日期,运营中心,学部,学科,app_rate,pc_rate,headcount
2026-09-03,郑州,初中,初中 汇总,0.7843780141843971,0.8998971631205673,141
2026-09-03,郑州,初中,化学,0.7109714285714286,0.6833285714285715,7
2026-09-03,郑州,初中,数学,0.7330169491525423,0.9088067796610171,59
2026-09-03,郑州,初中,物理,0.9223793103448276,0.8915103448275862,29
2026-09-03,郑州,初中,英语,0.8052333333333334,0.9231875,24
2026-09-03,郑州,初中,语文,0.7408136363636363,0.9305590909090911,22
2026-09-03,郑州,小学,小学 汇总,0.9016090909090909,0.42061818181818184,11
2026-09-03,郑州,小学,数学,0.823,0.4391833333333333,6
2026-09-03,郑州,小学,英语,0.9954,0.9958499999999999,2
2026-09-03,郑州,小学,语文,0.9963000000000001,0.0,3
2026-09-03,郑州,高中,化学,0.603825,0.7988375000000001,8
2026-09-03,郑州,高中,数学,0.71192,0.81216,15
2026-09-03,郑州,高中,物理,0.74102,0.8524800000000001,10
2026-09-03,郑州,高中,英语,0.5774374999999999,0.588775,8
2026-09-03,郑州,高中,语文,0.66635,0.6705333333333333,6
2026-09-03,郑州,高中,高中 汇总,0.6689083333333334,0.7464854166666667,48
2026-09-04,郑州,初中,初中 汇总,0.8102078014184397,0.9591241134751771,141
2026-09-04,郑州,初中,化学,0.7752714285714285,0.8275,7
2026-09-04,郑州,初中,数学,0.7463389830508474,0.9666576271186441,59
2026-09-04,郑州,初中,物理,0.9606241379310344,0.9654517241379309,29
2026-09-04,郑州,初中,英语,0.8312499999999999,0.9593875000000001,24
2026-09-04,郑州,初中,语文,0.7713772727272726,0.9721727272727271,22
2026-09-04,郑州,小学,小学 汇总,0.8663454545454545,0.5711363636363637,11
2026-09-04,郑州,小学,数学,0.8231666666666667,0.6075666666666667,6
2026-09-04,郑州,小学,英语,0.9991,0.9991,2
2026-09-04,郑州,小学,语文,0.8642,0.21296666666666667,3
2026-09-04,郑州,高中,化学,0.8657374999999999,0.9943124999999999,8
2026-09-04,郑州,高中,数学,0.8866066666666667,0.9019733333333334,15
2026-09-04,郑州,高中,物理,0.8360099999999999,0.95509,10
2026-09-04,郑州,高中,英语,0.718625,0.8815,8
